;skew;kurtosis;sigma_theta_mean;sigma_theta_median;sigma_theta_low5;sigma_theta_high95;beta_mean;beta_median;beta_low5;beta_high95;sector;Retail %
MMM;-0.42325927599732216;1.077.209.469.901.390;20.424.633;20.453.696;0.5292604595422745;3.541.719.126.701.350;0.68771404;0.6856855;0.5662661552429199;0.8187398791313171;Industrials;36.30
AOS;0.3419544982394658;704.472.146.953.465;2.057.916;20.671.587;0.5442855030298234;357.221.143.245.697;0.5343936;0.5286087;0.3769565477967262;0.7121017277240753;Industrials;0.38
ABT;0.04490939084196752;912.616.293.017.564;206.085;20.526.004;0.5445834845304489;358.102.136.850.357;0.6454916;0.64203525;0.5139731496572495;0.7888249009847641;Health Care;22.48
ABBV;-0.8650910789502768;16.970.581.245.568.500;20.772.834;2.069.392;0.5922581315040588;3.589.617.335.796.350;0.7701676;0.7715453;0.667095747590065;0.8686369389295577;Health Care;28.03
ACN;0.15354823357522002;9.144.010.829.244.320;20.405.953;20.374.393;0.5418000042438507;35.592.047.929.763.700;0.6475537;0.6438767;0.5148363918066025;0.7928531527519226;Information Technology;21.76
ADBE;-0.38740842299668116;10.349.896.014.257.900;20.616.589;2.064.079;0.522392812371254;3.583.303.821.086.880;0.67699534;0.67354095;0.5567317932844162;0.8073000639677048;Information Technology;15.35
AMD;0.33995739322092117;5.830.564.806.921.020;2.070.257;20.768.366;0.5508635431528092;3.590.749.061.107.630;0.41888556;0.41159946;0.24167793318629266;0.6196573853492735;Information Technology;26.54
AES;-0.4083224323705789;11.140.447.878.498.300;20.533.082;20.499.701;0.553868564963341;35.636.576.294.898.900;0.69525987;0.6929184;0.5765871375799179;0.8210196703672409;Utilities;3.73
AFL;0.7846979407931312;4.112.492.229.814.040;208.291;20.776.472;0.5691616207361221;35.948.680.043.220.500;0.84759235;0.85033965;0.7937294721603394;0.8914006888866425;Financials;29.67
A;-0.13935377430396786;7.223.955.957.858.740;20.528.247;20.454.726;0.532987278699875;35.884.415.388.107.200;0.5500999;0.5448461;0.3939858004450798;0.7242675572633742;Health Care;6.66
APD;-0.7738362047648335;162.504.555.229.028;20.726.502;2.074.216;0.5537484765052796;35.782.120.585.441.500;0.76442933;0.7659517;0.6599235892295837;0.8636272609233856;Materials;15.38
ABNB;0.22197382574303134;461.764.882.117.825;20.396.647;20.450.773;0.504366484284401;35.943.340.778.350.800;0.26194784;0.24628691;0.12586980387568475;0.46008251011371604;Consumer Discretionary;12.94
AKAM;0.044602052466344556;12.595.923.982.966.100;20.580.106;2.046.243;0.551273536682129;35.961.843.252.181.900;0.7294961;0.72867036;0.6243103235960007;0.8406909614801407;Information Technology;0.00
ALB;-0.40435959900615304;6.757.119.865.706.820;2.049.698;20.451.927;0.5233683794736862;35.926.830.053.329.400;0.5121194;0.5062269;0.3404218554496765;0.705412197113037;Materials;4.38
ARE;-0.1919836343064808;13.834.292.235.062.800;20.677.588;20.650.847;0.5703047603368759;3.568.737.602.233.880;0.7452326;0.74570537;0.6419190734624862;0.8470496028661728;Real Estate;0.00
ALGN;0.350816825521415;2.067.323.541.836.340;20.786.388;20.714.574;0.5820594072341919;3.599.308.049.678.800;0.80421346;0.8073317;0.7192305207252503;0.8802999883890151;Health Care;3.91
ALLE;-0.16650006060357644;9.685.605.443.628.070;20.462.575;20.468.216;0.539172649383545;3.572.733.461.856.840;0.6615215;0.6586003;0.5368027567863465;0.7999762177467347;Industrials;0.50
LNT;-0.04325017938258499;9.744.812.330.342.960;20.306.926;20.085.826;0.5078700423240662;35.801.742.672.920.200;0.6665853;0.6640684;0.5404060631990433;0.8033586859703064;Utilities;18.82
ALL;-0.8044659283559812;12.585.234.951.988.400;20.494.661;20.663.261;0.52215935587883;35.439.778.089.523.300;0.7174048;0.71718705;0.5990736484527588;0.8369847983121871;Financials;21.76
